input_raw,rxnorm_rxcui,rxnorm_name,rxnorm_tty,atc_l1_code,atc_l1_name,atc_l2_code,atc_l2_name,atc_l3_code,atc_l3_name,atc_l4_code,atc_l4_name
mercaptopurina,103.0,mercaptopurine,IN,L,,L01,,L01B,,L01BB,Purine analogues
homeopaticos,285167.0,Urtica urens homeopathic preparation,IN,,,,,,,,
hemantina,6719.0,memantine,IN,N,,N06,,N06D,,N06DA,Anticholinesterases
furosemida oral,4603.0,furosemide,IN,C,,C03,,C03C,,C03CA,"Sulfonamides, plain"
relajantes musculares,1486874.0,menthol 30 MG/ML / methyl salicylate 100 MG/ML Topical Cream,SCD,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
tejania,,,,,,,,,,,
beclometasona nasal,370992.0,beclomethasone Nasal Spray,SCDF,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
lisinopril mg,29046.0,lisinopril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
xarelto,1114199.0,Xarelto,BN,B,,B01,,B01A,,B01AF,Direct factor Xa inhibitors
seretide mananas,1999800.0,seractide,IN,,,,,,,,
levetericetam,114477.0,levetiracetam,IN,N,,N03,,N03A,,N03AX,Other antiepileptics
solo manejo hipercolesterolemia,1543730.0,Fallback Solo,BN,G,,G03,,G03A,,G03AC,Progestogens
pancreatinas,7880.0,pancreatin,IN,,,,,,,,
amlodipino tab dia,17767.0,amlodipine,IN,C,,C09,,C09D,,C09DX,"Angiotensin II receptor blockers (ARBs), other combinations"
spray nasal momentasona,1797864.0,mometasone Metered Dose Nasal Spray,SCDF,D,,D07,,D07A,,D07AC,"Corticosteroids, potent (group III)"
terapia inmunosupresora trasplante renal,1311269.0,Sus scrofa renal pelvis preparation,IN,,,,,,,,
gastrum,,,,,,,,,,,
dolex max,2598449.0,Dodex,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
prednisolona mg dia,8638.0,prednisolone,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
nasonex spray,153376.0,Nasonex,BN,D,,D07,,D07A,,D07AC,"Corticosteroids, potent (group III)"
ampicilina,733.0,ampicillin,IN,J,,J01,,J01C,,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
metocarbamol,6845.0,methocarbamol,IN,M,,M03,,M03B,,M03BA,Carbamic acid esters
morfina,7052.0,morphine,IN,N,,N02,,N02A,,N02AA,Natural opium alkaloids
anovulatori s,863965.0,S-2,BN,,,,,,,,
psyllium fibra,8928.0,psyllium,IN,A,,A06,,A06A,,A06AC,Bulk-forming laxatives
alercit puff nasales,1311063.0,giant puffball extract,IN,,,,,,,,
tiotropio inhalador,69120.0,tiotropium,IN,R,,R03,,R03B,,R03BB,Anticholinergics
trimebutina,10819.0,trimebutine,IN,A,,A03,,A03A,,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
hidroten x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
haloperidol gotas noche,5093.0,haloperidol,IN,N,,N05,,N05A,,N05AD,Butyrophenone derivatives
niguno,,,,,,,,,,,
citalopram,2556.0,citalopram,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
ninguno cronico,,,,,,,,,,,
laxantes,,,,,,,,,,,
nuinguno,,,,,,,,,,,
sulfazalazina,9524.0,sulfasalazine,IN,A,,A07,,A07E,,A07EC,Aminosalicylic acid and similar agents
vitamina suspendida hace mes,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
tramal ocasional,2654624.0,tramadol hydrochloride Oral Capsule [Tramalgin],SBDFP,,,,,,,,
spray nasal esteroides,1363446.0,soy sterol,IN,,,,,,,,
yasmin,748857.0,{21 (drospirenone 3 MG / ethinyl estradiol 0.03 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack [Yasmin 28 Day],BPCK,G,,G03,,G03A,,G03AC,Progestogens
meds,197803.0,ibuprofen 20 MG/ML Oral Suspension,SCD,M,,M01,,M01A,,M01AE,Propionic acid derivatives
enalapril m g dia,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
esomeprazol ocasional,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
anastrozol,84857.0,anastrozole,IN,L,,L02,,L02B,,L02BG,Aromatase inhibitors
fe oral,152364.0,Slow-Fe,BN,B,,B03,,B03A,,B03AA,"Iron bivalent, oral preparations"
medicacion dormir ocasional,1919068.0,Dormin,BN,R,,R06,,R06A,,R06AA,Aminoalkyl ethers
doxicicclina,,,,,,,,,,,
propafenona,8754.0,propafenone,IN,C,,C01,,C01B,,C01BC,"Antiarrhythmics, class Ic"
salbutamol inh,435.0,albuterol,IN,R,,R03,,R03A,,R03AC,Selective beta-2-adrenoreceptor agonists
isoniacida piridoxina,684879.0,pyridoxine,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
candam h amlodipino candesartan hctz,284628.0,candesartan / hydrochlorothiazide,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
naproxeno dolor,7258.0,naproxen,IN,M,,M01,,M01A,,M01AE,Propionic acid derivatives
tramal,2654624.0,tramadol hydrochloride Oral Capsule [Tramalgin],SBDFP,,,,,,,,
avamys suspendido,,,,,,,,,,,
colirios dorsolod,680973.0,Soliris,BN,L,,L04,,L04A,,L04AJ,Complement inhibitors
metoprolol cada horas,6918.0,metoprolol,IN,C,,C07,,C07F,,C07FB,Beta blocking agents and calcium channel blockers
calendula,285222.0,Calendula officinalis extract,IN,,,,,,,,
cefuroxima x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
kepra,261547.0,Keppra,BN,N,,N03,,N03A,,N03AX,Other antiepileptics
eutirox mcg x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
viit d,11253.0,vitamin D,IN,,,,,,,,
lynestrtenol x endometriosis,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
trigliceridos acido fenofibrico,24852.0,fenofibric acid,PIN,C,,C10,,C10A,,C10AB,Fibrates
antihistaminicos,1366495.0,Ahist Antihistamine,BN,R,,R06,,R06A,,R06AE,Piperazine derivatives
ticlofen,1292.0,baclofen,IN,M,,M03,,M03B,,M03BX,Other centrally acting agents
furosemida mg diaria,4603.0,furosemide,IN,C,,C03,,C03C,,C03CA,"Sulfonamides, plain"
b,11248.0,vitamin B12,IN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
olmesartan hctz,817496.0,hydrochlorothiazide / olmesartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
diltiazem mg,3443.0,diltiazem,IN,C,,C08,,C08D,,C08DB,Benzothiazepine derivatives
trimebutina mg,10819.0,trimebutine,IN,A,,A03,,A03A,,A03AA,"Synthetic anticholinergics, esters with tertiary amino group"
insulina lantus glargina,274783.0,insulin glargine,IN,A,,A10,,A10A,,A10AE,"Insulins and analogues for injection, long-acting"
dolex ocasional,2598449.0,Dodex,BN,B,,B03,,B03B,,B03BA,Vitamin B12 (cyanocobalamin and analogues)
desloratadina congestio nasal,275635.0,desloratadine,IN,R,,R01,,R01B,,R01BA,Sympathomimetics
multivitaminico,313599.0,ascorbic acid 35 MG/ML / cholecalciferol 0.01 MG/ML / vitamin A 0.45 MG/ML Oral Solution,SCD,A,,A11,,A11C,,A11CA,"Vitamin A, plain"
hierro oral,90176.0,iron,IN,,,,,,,,
astigmin,7315.0,neostigmine,IN,N,,N07,,N07A,,N07AA,Anticholinesterases
tamoxifeno dias,10324.0,tamoxifen,IN,L,,L02,,L02B,,L02BA,Anti-estrogens
letrozol,72965.0,letrozole,IN,L,,L02,,L02B,,L02BG,Aromatase inhibitors
cetirax,,,,,,,,,,,
citrato potasio,8588.0,potassium,IN,C,,C03,,C03C,,C03CB,Sulfonamides and potassium in combination
gotas oftalmicas prednisolona atrpina,8638.0,prednisolone,IN,H,,H02,,H02A,,H02AB,Glucocorticoids
testoresona im c meses,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
espironolactona,9997.0,spironolactone,IN,C,,C03,,C03D,,C03DA,Aldosterone antagonists
zopiclona,40001.0,zopiclone,IN,N,,N05,,N05C,,N05CF,Benzodiazepine related drugs
ciprofibrato,21149.0,ciprofibrate,IN,C,,C10,,C10A,,C10AB,Fibrates
hioscina dipirona,9603.0,scopolamine hydrobromide,PIN,A,,A03,,A03C,,A03CB,Belladonna and derivatives in combination with psycholeptics
gotas homeopaticas,285167.0,Urtica urens homeopathic preparation,IN,,,,,,,,
esomeprazol mg cada manana ayunas agua,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
silimarina,9794.0,silymarin,IN,A,,A05,,A05B,,A05BA,Liver therapy
apixaban sertralina,1364430.0,apixaban,IN,B,,B01,,B01A,,B01AF,Direct factor Xa inhibitors
fluimucil,,,,,,,,,,,
efexor,151692.0,Effexor,BN,N,,N06,,N06A,,N06AX,Other antidepressants
calcio vit d,11253.0,vitamin D,IN,,,,,,,,
rouvastatina,301542.0,rosuvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
proteina vo,8834.0,protein C,IN,B,,B02,,B02B,,B02BD,Blood coagulation factors
codeina,2670.0,codeine,IN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
mencionado enf actual,1945047.0,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,SCD,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
setralina,36437.0,sertraline,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
mometasona inh nasal,1165392.0,mometasone Nasal Product,SCDG,D,,D07,,D07A,,D07AC,"Corticosteroids, potent (group III)"
fitasteride,25025.0,finasteride,IN,G,,G04,,G04C,,G04CB,Testosterone-5-alpha reductase inhibitors
levetiracetam mg cada horas,114477.0,levetiracetam,IN,N,,N03,,N03A,,N03AX,Other antiepileptics
calcibon,795480.0,Calcidol,BN,A,,A11,,A11C,,A11CC,Vitamin D and analogues
amoxal clavulin,48203.0,clavulanate,IN,J,,J01,,J01C,,J01CR,"Combinations of penicillins, incl. beta-lactamase inhibitors"
med insomnio eszopiclona,461016.0,eszopiclone,IN,N,,N05,,N05C,,N05CF,Benzodiazepine related drugs
velafaxina,39786.0,venlafaxine,IN,N,,N06,,N06A,,N06AX,Other antidepressants
paroxetina,32937.0,paroxetine,IN,N,,N06,,N06A,,N06AB,Selective serotonin reuptake inhibitors
carbamazepina x dia,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
nasonex,153376.0,Nasonex,BN,D,,D07,,D07A,,D07AC,"Corticosteroids, potent (group III)"
minoxidil cabello,6984.0,minoxidil,IN,C,,C02,,C02D,,C02DC,Pyrimidine derivatives
metacarbamol ocasional,6845.0,methocarbamol,IN,M,,M03,,M03B,,M03BA,Carbamic acid esters
cannabis medicinal,1305550.0,Cannabis sativa seed oil,IN,,,,,,,,
bromuro ipratropio inh,203212.0,ipratropium bromide,PIN,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
pregabalina pm,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
anticoceptivos,,,,,,,,,,,
atazanavir,343047.0,atazanavir,IN,J,,J05,,J05A,,J05AE,Protease inhibitors
valsartan hidroclorotiazida,214626.0,hydrochlorothiazide / valsartan,MIN,C,,C09,,C09D,,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics
engistol,,,,,,,,,,,
roacutan,,,,,,,,,,,
metrotexate mg,6851.0,methotrexate,IN,L,,L01,,L01B,,L01BA,Folic acid analogues
gengibrozilo,4719.0,gemfibrozil,IN,C,,C10,,C10A,,C10AB,Fibrates
bromuro hioscina,203212.0,ipratropium bromide,PIN,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
vitamina d c,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
vitamina c d,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
belarina,,,,,,,,,,,
centrum ocasional,1376087.0,Cestrum latifolium leaf extract,IN,,,,,,,,
carvedilol mg cada horas,20352.0,carvedilol,IN,C,,C07,,C07A,,C07AG,Alpha and beta blocking agents
bedoyecta mensual,1597298.0,acetaminophen 500 MG / caffeine 60 MG / pyrilamine maleate 15 MG Oral Tablet,SCD,N,,N02,,N02B,,N02BE,Anilides
latanoprosto,43611.0,latanoprost,IN,S,,S01,,S01E,,S01EE,Prostaglandin analogues
factor viii,4257.0,factor VIII,IN,B,,B02,,B02B,,B02BD,Blood coagulation factors
dolex forte ocasionasl,202844.0,Pred Forte,BN,S,,S01,,S01B,,S01BA,"Corticosteroids, plain"
losartan mg x,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
metoprolol mgs interdiario,6918.0,metoprolol,IN,C,,C07,,C07F,,C07FB,Beta blocking agents and calcium channel blockers
parches lidocaina,6387.0,lidocaine,IN,D,,D04,,D04A,,D04AB,Anesthetics for topical use
tumsilosina dutasteride,228790.0,dutasteride,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
dololed,2711803.0,menthol 0.02 MG/MG / methyl salicylate 0.1 MG/MG Topical Gel,SCD,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
tolteradina,119565.0,tolterodine,IN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
zinc,11416.0,zinc,IN,,,,,,,,
probioticos,1301664.0,Rezyst Probiotic,BN,A,,A07,,A07F,,A07FA,Antidiarrheal microorganisms
analgesico recuerda,998598.0,Analgesic Balm GRX,BN,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
actual,1945047.0,30 ACTUAT fluticasone furoate 0.1 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler,SCD,R,,R03,,R03A,,R03AL,Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
losratan,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
inmunosupresores,,,,,,,,,,,
vitorin,495215.0,Vytorin,BN,C,,C10,,C10B,,C10BA,Combinations of various lipid modifying agents
eumotrix,,,,,,,,,,,
ranitidina omeprazol,7646.0,omeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
fe mas vitaminas,1099282.0,Mielim Y Mas,BN,R,,R05,,R05D,,R05DA,Opium alkaloids and derivatives
tto oncologico,,,,,,,,,,,
rinofrenol spray,,,,,,,,,,,
cromo vo,2496.0,chromium,IN,,,,,,,,
jarabe recuerda,1014005.0,dextromethorphan hydrobromide 0.667 MG/ML / guaifenesin 13.3 MG/ML Oral Solution,SCD,R,,R05,,R05F,,R05FA,Opium derivatives and expectorants
flixotide spray,,,,,,,,,,,
simbicort budesnida inh,745810.0,budesonide / formoterol Metered Dose Inhaler [Symbicort],SBDF,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
ranitidina ocasionalmente,9143.0,ranitidine,IN,A,,A02,,A02B,,A02BA,H2-receptor antagonists
asa mg dia,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
microgynon,,,,,,,,,,,
miravegron,1300786.0,mirabegron,IN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
abacavir,190521.0,abacavir,IN,J,,J05,,J05A,,J05AR,"Antivirals for treatment of HIV infections, combinations"
ver enfermedad actual,1550700.0,Kentucky bluegrass pollen extract 100 IR / orchard grass pollen extract 100 IR / perennial rye grass pollen extract 100 IR / sweet vernal grass pollen extract 100 IR / Timothy grass pollen extract 100 IR Sublingual Tablet,SCD,V,,V01,,V01A,,V01AA,Allergen extracts
montelukast inh,88249.0,montelukast,IN,R,,R03,,R03D,,R03DC,Leukotriene receptor antagonists
losartan hctz amlodipino,214619.0,hydrochlorothiazide / losartan,MIN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
microginon suave,581662.0,ethanol 0.7 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
visane,581660.0,ethanol 0.62 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
isotetrinoin,6064.0,isotretinoin,IN,D,,D10,,D10B,,D10BA,Retinoids for treatment of acne
bilaxten x urticaria,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
esoeprazol,283742.0,esomeprazole,IN,A,,A02,,A02B,,A02BC,Proton pump inhibitors
ea,317678.0,Enema,DF,,,,,,,,
metformina zitagliptina,729717.0,metformin / sitagliptin,MIN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
mirapex er mg,901536.0,pramipexole Extended Release Oral Tablet [Mirapex],SBDF,N,,N04,,N04B,,N04BC,Dopamine agonists
leche magnesia,6582.0,magnesium oxide,IN,A,,A11,,A11J,,A11JB,Vitamins with minerals
telmisartan hctz,284636.0,hydrochlorothiazide / telmisartan,MIN,C,,C09,,C09D,,C09DA,Angiotensin II receptor blockers (ARBs) and diuretics
tramado,10689.0,tramadol,IN,N,,N02,,N02A,,N02AX,Other opioids
imipramina,5691.0,imipramine,IN,N,,N06,,N06A,,N06AA,Non-selective monoamine reuptake inhibitors
histotal,,,,,,,,,,,
smecta enterogermina,543363.0,Umecta,BN,B,,B05,,B05B,,B05BC,Solutions producing osmotic diuresis
astaxantina,18451.0,astaxanthin,IN,A,,A11,,A11G,,A11GB,"Ascorbic acid (vitamin C), combinations"
simpause,1918056.0,{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.03 MG / levonorgestrel 0.15 MG Oral Tablet) } Pack [Simpesse 91 Day],BPCK,G,,G03,,G03A,,G03AA,"Progestogens and estrogens, fixed combinations"
evalax,,,,,,,,,,,
acetaminofen hidrocodona,161.0,acetaminophen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
complejo b vitamina c,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
saxagliptina,857974.0,saxagliptin,IN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
enzimas pancreaticas,7880.0,pancreatin,IN,,,,,,,,
insullina nph,317235.0,"insulin isophane, beef",PIN,,,,,,,,
niga,,,,,,,,,,,
claira,581660.0,ethanol 0.62 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
biologico oral,2637767.0,beremagene geperpavec-svdt 5000000000 UNT/ML Topical Suspension [Vyjuvek],SBD,D,,D03,,D03A,,D03AX,Other cicatrizants
fibra,824586.0,psyllium 3400 MG Powder for Oral Suspension,SCD,A,,A06,,A06A,,A06AC,Bulk-forming laxatives
nieg,,,,,,,,,,,
i glargina,1426748.0,iobenguane I-123,PIN,V,,V09,,V09I,,V09IX,Other diagnostic radiopharmaceuticals for tumour detection
mometasyn,108118.0,mometasone,IN,R,,R03,,R03A,,R03AK,"Adrenergics in combination with corticosteroids or other drugs, excl. anticholinergics"
exemastano,258494.0,exemestane,IN,L,,L02,,L02B,,L02BG,Aromatase inhibitors
dolotrin f,2590763.0,Stomodine F,BN,A,,A01,,A01A,,A01AB,Antiinfectives and antiseptics for local oral treatment
arepripazol,,,,,,,,,,,
critantec colirios,680973.0,Soliris,BN,L,,L04,,L04A,,L04AJ,Complement inhibitors
inhalador esteroide,2720028.0,menthol 0.0035 MG/MG / petrolatum 0.797 MG/MG / zinc oxide 0.05 MG/MG Rectal Ointment,SCD,D,,D02,,D02A,,D02AB,Zinc products
estrogenos conjugados,4099.0,"estrogens, conjugated (USP)",IN,G,,G03,,G03F,,G03FA,"Progestogens and estrogens, fixed combinations"
hemodialisis m j s,2658261.0,"hepatitis B surface antigen (isoform L), recombinant / hepatitis B surface antigen (isoform M), recombinant / hepatitis B surface antigen (isoform S), recombinant Injection [Prehevbrio]",SBDFP,J,,J07,,J07B,,J07BC,Hepatitis vaccines
haemate p,219008.0,P & S,BN,D,,D11,,D11A,,D11AC,Medicated shampoos
ao,545626.0,sodium monofluorophosphate 0.0076 MG/MG Toothpaste,SCD,A,,A01,,A01A,,A01AA,Caries prophylactic agents
polietilenglicol,,,,,,,,,,,
biplena,,,,,,,,,,,
losartan metropolol,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
interferon cada dias,4381.0,interferon-beta,IN,L,,L03,,L03A,,L03AB,Interferons
asa suspender hoy,1191.0,aspirin,IN,N,,N02,,N02B,,N02BA,Salicylic acid and derivatives
fexofenadina,87636.0,fexofenadine,IN,R,,R06,,R06A,,R06AX,Other antihistamines for systemic use
clorfeniramina,2400.0,chlorpheniramine,IN,R,,R01,,R01B,,R01BA,Sympathomimetics
betaloc zoc losartan,52175.0,losartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
isoclon ocasional,352728.0,Isochron,BN,C,,C01,,C01D,,C01DA,Organic nitrates
gingo biloba,236809.0,Ginkgo biloba extract,IN,,,,,,,,
betaloc zoc,196503.0,Zocor,BN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
rosuvastatina mg dia,301542.0,rosuvastatin,IN,C,,C10,,C10A,,C10AA,HMG CoA reductase inhibitors
alefast d,11253.0,vitamin D,IN,,,,,,,,
zaldiar,,,,,,,,,,,
ibesartan,83818.0,irbesartan,IN,C,,C09,,C09C,,C09CA,"Angiotensin II receptor blockers (ARBs), plain"
furosemida,4603.0,furosemide,IN,C,,C03,,C03C,,C03CA,"Sulfonamides, plain"
anastrazol inicio sept,84857.0,anastrozole,IN,L,,L02,,L02B,,L02BG,Aromatase inhibitors
enlapril,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
vincristina,11202.0,vincristine,IN,L,,L01,,L01C,,L01CA,Vinca alkaloids and analogues
enalaparil,3827.0,enalapril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
alfa metil dopa,1657852.0,"dopa, DL",IN,,,,,,,,
ranitidinsa,9143.0,ranitidine,IN,A,,A02,,A02B,,A02BA,H2-receptor antagonists
mucosina,359601.0,guaifenesin 400 MG Oral Tablet,SCD,R,,R05,,R05C,,R05CA,Expectorants
rinae spray,,,,,,,,,,,
fosamax,114265.0,Fosamax,BN,M,,M05,,M05B,,M05BA,Bisphosphonates
trazadna,,,,,,,,,,,
acido ibandronico,115265.0,ibandronic acid,PIN,M,,M05,,M05B,,M05BA,Bisphosphonates
hanumet,1372738.0,Janumet,BN,A,,A10,,A10B,,A10BD,Combinations of oral blood glucose lowering drugs
euthyrox,217006.0,Euthyrox,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
tratamiento,,,,,,,,,,,
glicina,4919.0,glycine,IN,B,,B05,,B05B,,B05BA,Solutions for parenteral nutrition
lumiga colirio glaucoma,1368327.0,Galphimia glauca whole extract,IN,,,,,,,,
lisonopril,29046.0,lisinopril,IN,C,,C09,,C09A,,C09AA,"ACE inhibitors, plain"
vitamina c b d,1151.0,ascorbic acid,IN,A,,A11,,A11J,,A11JC,"Vitamins, other combinations"
metoproolol,6918.0,metoprolol,IN,C,,C07,,C07F,,C07FB,Beta blocking agents and calcium channel blockers
trimetropim sulfa,1101603.0,Supra Sulfa,BN,J,,J01,,J01E,,J01EB,Short-acting sulfonamides
antigriplaes,,,,,,,,,,,
vitaminas calcio,1895.0,calcium,IN,,,,,,,,
pregabalina mg cada horas,187832.0,pregabalin,IN,N,,N02,,N02B,,N02BF,Gabapentinoids
trimetropin sulfa,1101603.0,Supra Sulfa,BN,J,,J01,,J01E,,J01EB,Short-acting sulfonamides
nignuno,,,,,,,,,,,
nibolona,38260.0,tibolone,IN,G,,G03,,G03C,,G03CX,Other estrogens
domperidona cc cada horas,3626.0,domperidone,IN,A,,A03,,A03F,,A03FA,Propulsives
aines relajandtes musculares,1486874.0,menthol 30 MG/ML / methyl salicylate 100 MG/ML Topical Cream,SCD,M,,M02,,M02A,,M02AC,Preparations with salicylic acid derivatives
ziac,75038.0,Ziac,BN,C,,C07,,C07A,,C07AB,"Beta blocking agents, selective"
iofi tabs ginecol,,,,,,,,,,,
ac folico metotrexate,4511.0,folic acid,IN,B,,B03,,B03A,,B03AD,Iron in combination with folic acid
planificacion,,,,,,,,,,,
tamsulon,77492.0,tamsulosin,IN,G,,G04,,G04C,,G04CA,Alpha-adrenoreceptor antagonists
hidrocodona naroxeno,5489.0,hydrocodone,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
rsouvastatina x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
oxibutina,,,,,,,,,,,
caltrate,215850.0,Caltrate,BN,A,,A02,,A02A,,A02AC,Calcium compounds
disgracil,,,,,,,,,,,
synthoid,224920.0,Synthroid,BN,H,,H03,,H03A,,H03AA,Thyroid hormones
iburofeno,5640.0,ibuprofen,IN,N,,N02,,N02A,,N02AJ,Opioids in combination with non-opioid analgesics
estrogel oct,405052.0,Estrogel,BN,G,,G03,,G03C,,G03CA,"Natural and semisynthetic estrogens, plain"
cilcobenzarpina,,,,,,,,,,,
nifedipino,7417.0,nifedipine,IN,C,,C08,,C08C,,C08CA,Dihydropyridine derivatives
loracepam,6470.0,lorazepam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
ocasionalmente micronutrientes,,,,,,,,,,,
bisolvon,625.0,ambroxol,IN,R,,R02,,R02A,,R02AD,"Anesthetics, local"
avamys,,,,,,,,,,,
lorazepam,6470.0,lorazepam,IN,N,,N05,,N05B,,N05BA,Benzodiazepine derivatives
bomba insulina,253182.0,"insulin, regular, human",IN,A,,A10,,A10A,,A10AD,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
fluconazol,4450.0,fluconazole,IN,J,,J02,,J02A,,J02AC,Triazole and tetrazole derivatives
hiperlipen,,,,,,,,,,,
beclometasona inh,1155693.0,beclomethasone Inhalant Product,SCDG,A,,A07,,A07E,,A07EA,Corticosteroids acting locally
medicamentos naturista,581662.0,ethanol 0.7 ML/ML Topical Gel,SCD,D,,D08,,D08A,,D08AX,Other antiseptics and disinfectants
tamoxiffeno,10324.0,tamoxifen,IN,L,,L02,,L02B,,L02BA,Anti-estrogens
trilectan,261680.0,Trileptal,BN,N,,N03,,N03A,,N03AF,Carboxamide derivatives
x neurol,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
metamusil,6802.0,Metamucil,BN,A,,A06,,A06A,,A06AC,Bulk-forming laxatives
nistatina,7597.0,nystatin,IN,D,,D07,,D07C,,D07CB,"Corticosteroids, moderately potent, combinations with antibiotics"
myrbetric,1300792.0,Myrbetriq,BN,G,,G04,,G04B,,G04BD,Drugs for urinary frequency and incontinence
pregabalina x,217263.0,Gas-X,BN,A,,A03,,A03A,,A03AX,Other drugs for functional gastrointestinal disorders
winadeine f,2590763.0,Stomodine F,BN,A,,A01,,A01A,,A01AB,Antiinfectives and antiseptics for local oral treatment
