input_es,input_en,icd10pcs_code,icd10pcs_term
INYECCIÓN INTRÓSEA BAJO,LOW INTROSEAL INJECTION,S8042,Mri low field
CIRUGIA RECONSTRUCTIVA DE CODO,ELBOW RECONSTRUCTIVE SURGERY,L6250,Elbow inter loc elbow forarm
VULVECTOMIA,VULVECTOMY,,
"TENOSINOVECTOMIAS, OSTEOTOMIAS 4 DEDO MANO IZQUIERDA","TENOSINOVECTOMIES, OSTEOTOMIES 4 FINGER LEFT HAND",,
HERNIORRAFIA INGUINAL LAPAROSCOPICA IZQ + RESECCION LIPOMAS,LEFT LAPAROSCOPIC INGUINAL HERNIORRHAPHY + LIPOMAS RESECTION,,
RETIRO MATERIAL DE OST TIBIA DERECHA,REMOVAL OF RIGHT OST TIBIA MATERIAL,,
RESECCION DE TUMOR ODONTOGÉNICO .,RESECTION OF ODONTOGENIC TUMORS.,,
"IQ: TIMPANOPLASTIA CON REVISION DE LA CADENA OSICULAR, ...","IQ: TYMPANOPLASTY WITH REVISION OF THE OSSICULAR CHAIN, ...",,
RESECCION DE NAVICULAR -  TRANSFERENCIA TENDONES,NAVICULAR RESECTION - TENDON TRANSFER,,
NEFRECTOMIA PARA DONANTE DE RIÑON,NEPHRECTOMY FOR KIDNEY DONOR,,
ETMOIDECTOMIA - ANTROSTOMIA - ESFENOIDECTOMIA SEPTO Y TURBINOPLASTIA,ETHMOIDECTOMY - ANTHROSTOMY - SEPTAL SPHENOIDECTOMY AND TURBINOPLASTY,,
"CESAREA, LIGADURA DE TROMPAS.","CESAREA, TUBAL LIGATION.",S9438,Cesarean birth class
NEFRECTOMIA IZQUIERDA,LEFT NEPHRECTOMY,G8395,Lvef>=40% doc normal or mild
CUADRANTECTOMIA AMPLIA MAS COLGAJO,WIDE QUADRANTECTOMY PLUS FLAP,,
CIRUGIA RECONSTRUCTIVA DEDO,FINGER RECONSTRUCTIVE SURGERY,E1832,Sps finger device
"CIRUGIA DE MOHS, CON RECONSTRUCCION.","MOHS SURGERY, WITH RECONSTRUCTION.",,
HISTEROSCOPIA CON BIOPSIA.,HYSTEROSCOPY WITH BIOPSY.,G9823,Endo smpl/hyst bx res doc
ABLACIÓN DE MIOMAS UTERINOS,ABLATION OF UTERINE MYOMAS,,
HEPATECTOMIA SEGMENTARIA,SEGMENTARY HEPATECTOMY,,
ERRADICACION DE INFECCION TOBILLO DERECHO,ERADICATION OF RIGHT ANKLE INFECTION,,
CORRECCION MALFORMACION DE MEDULA ESPINAL ALTA COMPLEJIDAD.,CORRECTION OF HIGH COMPLEXITY SPINAL CORD MALFORMATION.,,
OSTEOTOMIAS SAGITALES MANDIBULARES,MANDIBULAR SAGITTAL OSTEOTOMIAS,S8262,Mandib ortho repos device
COLOSTOMIA,COLOSTOMY,,
CORRECCION DE HALLUX VALGUS Y DEDOS EN MARTILLO,CORRECTION OF HALLUX VALGUS AND HAMMER TOES,,
RESECCION LESION PAROTIDA IZQUIERDA.,LEFT PAROTID LESION RESECTION.,,
CX ORTOPEDICA  M INF IZQDO,CX ORTHOPEDIC M LOWER LEFT,,
RETROINSERCCION DE MÚSCULOS RECTOS,RETROINSERTION OF STRAIGHT MUSCLES,,
ACETABULOPLASTIA CON INYECCION DE CEMNTO OSEO,ACETABULOPLASTY WITH BONE CEMENT INJECTION,,
HISTEROSCOPIA + BX DE ENDOMETRIO.,ENDOMETRIAL HYSTEROSCOPY + BX.,G9823,Endo smpl/hyst bx res doc
CIRUGIA ORTPEDICA,ORTHOPEDIC SURGERY,G4021,Orthopedic surgery ss
RESECCION DE NÓDULO CERVICAL .,CERVICAL NODULE RESECTION.,A4261,Cervical cap contraceptive
CORRECCIÓN CANAL LUMBAR ESTRECHO,NARROW LUMBAR CANAL CORRECTION,,
MIOMECTOMIA UTERINA POR HISTEROSCOPIA,UTERINE MYOMECTOMY BY HYSTEROSCOPY,,
"RESECCION DE LESION VIA ABIERTA TRASANAL , ABLACION LESIONES","TRANSANAL OPEN LESION RESECTION, LESION ABLATION",,
ORTOGNÁTICA BIMAXILAR.,BIMAXILLARY ORTHOGNATIC.,,
CIRUGIA RECONTRUCTIVA POR ETAPAS,RECONSTRUCTIVE SURGERY BY STAGES,,
HEMITIORIDECTOMIA DERECHA,RIGHT HEMITIORIDECTOMY,C1605,"Pmkr, dual, leadless"
SEPTOTURBINOPLASTIA - AMIGDALECTOMÍA,SEPTOTURBINOPLASTY - TONSILLECTOMY,,
RECONSTRUCCION URETRAL,URETHRAL RECONSTRUCTION,A4336,Urethral insert
"ARTROSCOPIA DE RODILLA, CONDROPLASTIA, SINOVECTOMIA MAS MOVILIZACION.","KNEE ARTHROSCOPY, CHONDROPLASTY, SYNOVECTOMY PLUS MOBILIZATION.",,
SALPINGOPLASTIA,SALPINGOPLASTY,,
FRENILLECTOMIA LABIAL Y LINGUAL,LABIAL AND LINGUAL FRENILLECTOMY,,
EXODONCIA DE INCLUIDOS MAS CIRUGIA MAXILOFACIAL DE MEDIANA COMPLEJIDAD.,INCLUDING EXODONTICS PLUS MEDIUM COMPLEXITY MAXILLOFACIAL SURGERY.,,
ARTROSCOPIA RODILLA DERECHA + RECONSTRUCCIÓN LIGAMENT,RIGHT KNEE ARTHROSCOPY + LIGAMENT RECONSTRUCTION,,
RECONSTRUCCION PARED ABDOMINAL,ABDOMINAL WALL RECONSTRUCTION,L1270,Abdominal pad
RESECCIÓN DE FRENILLO SUBLINGUAL,SUBLINGUAL FRENUM RESECTION,,
RESECCION CHALAZION PARPADO SUP DER,UPPER RIGHT EYELID CHALAZION RESECTION,,
TIROIDECTOMIA TOTAL MAS VACIAMIENTO GANGLIONAR CENTRAL,TOTAL THYROIDECTOMY PLUS CENTRAL GANGLIONAL CLEARING,,
MASTECTOMIA RADIACAL MAS VACIAMIENTO MAS COLGAJO,RADIACAL MASTECTOMY PLUS EMPTYING PLUS FLAP,,
MACROCRÁNEA .,MACROCRANIA.,,
CIRUGÍA DE MOHS + RECONSTRUCCION PUNTA NASAL,MOHS SURGERY + NASAL TIP RECONSTRUCTION,,
TRASP INTRAFAMILIAR HEPATICO,INTRA-FAMILY LIVER TRANSP,,
HISTERECTOMIA MAS CISTECTOMIA DE OVARIO POR LAPAROSCOPIA,HYSTERECTOMY PLUS OVARIAN CYSTECTOMY BY LAPAROSCOPY,,
LISIS DE ADHERENCIAS PÉLVICAS POR LAPAROSCOPIA,LYSIS OF PELVIC ADHESIONS BY LAPAROSCOPY,,
HISTEROSCOPIA+ BIOPSIA,HYSTEROSCOPY + BIOPSY,G9823,Endo smpl/hyst bx res doc
TENORRAFIA . POSIBLE INJERTO .,TENORRAPHY. POSSIBLE GRAFT.,,
NEUROLISIS Y NEUROPROTECCION DE N RADIAL IZQUIERDO,NEUROLYSIS AND NEUROPROTECTION OF LEFT RADIAL N,,
EVDA - COLONOSCOPIA MAS BIOPSIA DE ILEON,EVDA - COLONOSCOPY PLUS ILEUM BIOPSY,,
REDUCCION CERRADA DE FRACTURA NASAL,CLOSED REDUCTION OF NASAL FRACTURE,,
RESECCION DE GRANULOMA MAS COLGAJO,GRANULOMA RESECTION PLUS FLAP,,
DRENAJE DE COLECCION GLUTEO  DERECHO MAS COLGAJO,RIGHT BUTTHOOT COLLECTION DRAINAGE PLUS FLAP,,
HISTERECTOMIA VAGINAL MAS CINTA MEDIO URETRAL Y COLPOPERINEOPASTIA,VAGINAL HYSTERECTOMY PLUS MIDDLE URETHRAL TAPE AND COLPOPERINEOPASTIA,,
FRENILLECTOMÍA,FRENILLECTOMY,,
SALPINGOOFORECTOMIA MAS BIOPSIA POR CONGELACION POR LAPAROSCOPIA,SALPINGOOPHORECTOMY PLUS FREEZING BIOPSY BY LAPAROSCOPY,,
CISTOSCOPIA+URETROPLASTIA ABIERTA,CYSTOSCOPY+OPEN URETHROPLASTY,C9739,Cystoscopy prostatic imp 1-3
CORRECCION ESTRABISMO AO,STRABISMUS CORRECTION AO,,
MUESTRA ESCISIONAL DE CONGLOMERADO VAGINAL,EXCISIONAL SAMPLE OF VAGINAL CONGLOMERATE,,
CINTA MEDIOURETRAL TOT,TOT MEDIOURETRAL TAPE,L5650,Tot contact ak/knee disart s
SALPINGUECTOMIA POR LAPAROSCOPIA/LIGADURA DE VARICES Y CINTA MEDIOURETRAL,SALPINGECTOMY BY LAPAROSCOPY/LIGATION OF VARICESE AND MEDIOOURETRAL TAPE,,
URETERORRENOSCOPIA FLEXIBLE + LITOFRAGMENTACIÓN CON LASER,FLEXIBLE URETERORHENOSCOPY + LASER LITOFRAGMENTATION,,
CIERRE DE FÍSTULA UTERINA ( ISTMOCELE ),CLOSURE OF UTERINE FISTULA (ISTMOCELE),,
REDUCCION ABIERTA Y OTS DE 4 MTC DE MANO DERECHA,OPEN REDUCTION AND OTS OF 4 MTC RIGHT HAND,,
HISTERCTOMIA ADOMINAL LAPAROTOMIA,ADOMINAL HYSTERCTOMY LAPAROTOMY,,
RESECCION/OSEOTOMIA,RESECTION/OSEOTOMY,G9613,Doc post surg anatomy
CORRECCION DE INCONTINENCIA URINARIA,CORRECTION OF URINARY INCONTINENCE,G9626,Med rsn no rpt bladder inj
RESECCION DE FISTULA,FISTULA RESECTION,A4730,"Fistula cannulation set, ea"
ESFINTEROTOMIA ANAL/RESECION CRESTA CUTANEA/RESECCION PAPILA ANAL,ANAL SPHINTEROTOMY/CUTANEOUS CREST RESECTION/ANAL PAPILLA RESECTION,,
"OTS MAXILOFACIAL,","MAXILLOFACIAL OTS,",L8048,Unspec maxillofacial prosth
BLEFAROPLASTIA.,BLEPHAROPLASTY.,,
RESECCION DE LESIONES LINEA MEDIA INTERVEBTRICULARES POR LAPAROSCOPIA.,RESECTION OF INTERVEBTRICULAR MIDLINE LESIONS BY LAPAROSCOPY.,,
ADENOIDECTOMIA/AMIGDALECTOMIA/TURBINOPLASTIA,ADENOIDECTOMY/TONSILLECTOMY/TURBINOPLASTY,,
QX MOHS RECONSTRUCCION,QX MOHS RECONSTRUCTION,,
ODINTOLOGIA INTEGRAL,COMPREHENSIVE ODINTOLOGY,H2010,Comprehensive med svc 15 min
RESECCION TUMOR D EPAROTIDA IZQUIERDA,LEFT PAROTIDAL TUMOR RESECTION,,
CIRUGIA RECONSTURCTIVA,RECONSTURTIVE SURGERY,G9643,Elective surgery
ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR LAPAROSCOPIA,ABLATION OR OCCLUSION OF BILATERAL FALLOPIAN TUBE BY LAPAROSCOPY,,
SAFENOVARICECTOMIA.,SAFENOVARICECTOMY.,,
SCAN CEREBRAL,BRAIN SCAN,S8040,Topographic brain mapping
CIERRE DE HERNIA,HERNIA CLOSURE,A4396,Peristomal hernia supprt blt
IMPLANTE DE CONDUCCION OSEA ACTIVO PIEZOELECTRICO,PIEZOELECTRIC ACTIVE BONE CONDUCTION IMPLANT,,
MASTECTOMIA + RECONST DERECHA,MASTECTOMY + RIGHT RECONST,G9708,Bilat mast/hx bi /unilat mas
RECONSTRUCCIÓN MAMA IZQUIERDA,LEFT BREAST RECONSTRUCTION,S2066,Breast gap flap reconst
CX EN ANTEBRAZO Y MANO DERECHA,CX ON FOREARM AND RIGHT HAND,,
"HISTEROLAPAROSCOPIA , RESECCION QUISTE DE OVARIO","HISTEROLAPAROSCOPY, OVARIAN CYST RESECTION",,
CIRUGIA ORTOPEDICA,ORTHOPEDIC SURGERY,G4021,Orthopedic surgery ss
RESECION DE GANGLION DORSAL Y TENOSINOVITIS D E EXTENSORES DE PULGAR,DORSAL GANGLION REsection AND THUMB EXTENSION TENOSYNOVITIS,,
EXTRACCION MO RADIO,MO RADIO EXTRACTION,L0130,Flex thermoplastic collar mo
RESECCION ENDOSCOPICA DE LESION LARINGE,ENDOSCOPIC RESECTION OF LARYNX LESION,,
"ABLACION, OCLUSION DE TROMPAS DE FALOPIO","ABLATION, OCCLUSION OF FALLOPIAN TUBES",,
RETIRO DE CATETER E IMPLANTE DE NUEVO IMPLANTABLE,CATHETER REMOVAL AND AGAIN IMPLANTABLE IMPLANT,,
HISTEROSCOPIA MAS LIBERAACION DE ADHERENCIAS,HYSTEROSCOPY PLUS RELEASE OF ADHESIONS,,
"TURBINOPLASTIA, AMIGDALECTOMIA, AMIGDALECTOMIA","TURBINOPLASTY, TONSILLECTOMY, TONSILLECTOMY",,
SIMPATECTOMIA TORACICA  TORACOSCOPIA,THORACIC SYMPATECTOMY THORACOSCOPY,L2660,Thoracic control thoracic ba
LEGRADO OBSTETRICO,OBSTETRIC CURETURE,G4018,Ob/gyn ss
"HERNIORRAFIA UNBILICAL, CORRECCION DISTASIS DE RECTOS POR LAPAROSCOPIA","UNBILICAL HERNIORRHAPHY, DISTASIS CORRECTION OF THE RECTUS BY LAPAROSCOPY",,
"TIMPANOPLSTIA, RCNOSTRUCCION DE MEATO AUDITIVO EXTERNO.","TYMPANOPLSTY, RCNOSTRUCTION OF THE EXTERNAL AUDITORY MEATUS.",,
ESTAPEDECTOMIA MAS RECONSTRUCCION DE CADENA,STAPEDECTOMY PLUS CHAIN ​​RECONSTRUCTION,,
PLASTIA DE FRENILLO LINGUAL Y TTO ODONTOLOGICO,LINGUAL FREQUENCY PLASTY AND DENTISTRY TTO,,
PROSTATECTOMIA MAS LINFADENECTOMIA POR LAPAROSCOPIA,PROSTATECTOMY PLUS LYMPHADENECTOMY BY LAPAROSCOPY,,
HIDROCELECOTMIA ESCROTAL,SCROTAL HYDROCELECOTMIA,L8330,Truss add to std pad scrotal
REINSERCION DEL TENDON DEL BICEPS,REINSERTION OF THE BICEPS TENDON,,
ENTRECRUZAMIENTO CORNEAL,CORNEAL CROSS-CROSSING,V2785,Corneal tissue processing
RESECCION OSTEOCONDROMA TIBIA IZQ,LEFT TIBIAL OSTEOCHONDROMA RESECTION,,
CORREGION DE HALLUX VALGUS,HALLUX VALGUS CORREGION,L8642,Hallux implant
LIBERACION ENDOSCOPICA DEL TUNEL,ENDOSCOPIC TUNNEL RELEASE,C9724,Eps stomach plic
MIOMECTOMIA Y BIOPSIA DE ENDOMETRIO POR HISTEROSCOPIA,MYOMECTOMY AND ENDOMETRIAL BIOPSY BY HYSTEROSCOPY,,
HISERECTOMIA POR LAPAROSCOPIA,HYSERECTOMY BY LAPAROSCOPY,,
DESCOMPRESION ENDOSCOPCIA DE TUNEL DEL CARPO MANO DERECHA,RIGHT HAND CARPAL TUNNEL ENDOSCOPY DECOMPRESSION,,
SALPINGOPLASTIA POR LAPAROSCOPIA MAS  CISTECTOMIA,SALPINGOPLASTY BY LAPAROSCOPY PLUS CYSTECTOMY,,
RESECCION DE TUMOR DE PARPADO,EYELID TUMOR RESECTION,C5275,Low cost skin substitute app
HISTERECTOMIA TOTAL X LAPAROSCOPIA,TOTAL HYSTERECTOMY X LAPAROSCOPY,,
SINOVECTOMIA DE MUÑECA POR ARTROSCOPIA,WRIST SYNOVECTOMY BY ARTHROSCOPY,,
RESECCION PULMONAR EN CUÑA POR TORACOSCOPIA,WEDGE LUNG RESECTION BY THORACOSCOPY,,
TENOSINOVECTOMIA - TENORRAFIA DEDO DE MANO,TENOSINOVECTOMY - FINGER TENORRHAPHY,,
SALPINGOOFORECTOMIA BILATERAL POR LAPAROSCOPIA,BILATERAL SALPINGOOPHORECTOMY BY LAPAROSCOPY,,
BIOPSIA EXCISIONAL DE LA MASA,EXCISIONAL BIOPSY OF THE MASS,,
DESCOMPRESION TUNEL,TUNNEL DECOMPRESSION,S2325,Hip core decompression
VARICOCELECTOMIA IZDA Y VASECTOMIA,LEFT VARICOCELECTOMY AND VASECTOMY,,
DECOMPRESION TUNEL DEL CARPO VIA ENDOSCOPICA,CARPAL TUNNEL DECOMPRESSION VIA ENDOSCOPIC,,
EXTRACCION DE IMPLANTES Y MAMOPLASTIA DE REDUCCION,IMPLANT EXTRACTION AND REDUCTION MAMOPLASTY,,
CORRECION DE MORDIDA,BITE CORRECTION,A9285,Inversion eversion cor devic
REMOCION CALCULO RENAL,KIDNEY STONE REMOVAL,S0400,Global eswl kidney
IMPLANTES DENTALES,DENTAL IMPLANTS,G0330,Facility svs dental rehab
"VACIAMIENTO LINFATICO, MASTECTOMIA RADICAL","LYMPHATIC EMPTYING, RADICAL MASTECTOMY",,
EMBOLIZACION MALFORMACION A-V-,A-V-MALFORMATION EMBOLIZATION,V2755,Uv lens/es
LAPAROSCOPIA GINECOLOGICA/CISTOSCOPIA,GYNECOLOGICAL LAPAROSCOPY/CYSTOSCOPY,S0610,Annual gynecological examina
PAROTIDECTOMIA DER,RIGHT PAROTIDECTOMY,C1605,"Pmkr, dual, leadless"
"SUTURA DE MENISCO, CONDROPLASTIA POR ARTROSCOPIA","MENISCUS SUTURE, CHONDROPLASTY BY ARTHROSCOPY",,
CATETER INPLANTABLE PARA QUIMIOTERAPIA,INPLANTABLE CATHETER FOR CHEMOTHERAPY,,
SEPTO TURBINOPLASTIA.,SEPTAL TURBINOPLASTY.,L8047,Nasal septal prosthesis
COLELAP +  HERNIORRAFIA UMBILICAL,COLELAP + UMBILICAL HERNIORRHAPHY,,
HISTEROSCOPIA Y RESECCION DE POLIPOS,HYSTEROSCOPY AND POLYP RESECTION,,
RESECCION DE NEOMETRIOMA POR LAPAROSCOPIA,NEOMETRIOMA RESECTION BY LAPAROSCOPY,,
"IQ: ABLACION U OCLUSION DE TROMPA DE FALOPIO BILATERAL POR LAPAROTOMIA, CESAREA DE ALTO RIESGO OBSTETRICO","IQ: ABLATION OR OCCLUSION OF BILATERAL FALLOPIAN TUBE BY LAPAROTOMY, HIGH OBSTETRIC RISK CESARESERA",,
RESECCION TUMOR OVARIO IZQUIERDO POR LAPAROTOMIA,LEFT OVARIAN TUMOR RESECTION BY LAPAROTOMY,,
IQ: FIJACION EXTERNA BASICA Y/O ERRADICACION DE INFECCIONES UNILATERAL,IQ: BASIC EXTERNAL FIXATION AND/OR ERADICATION OF UNILATERAL INFECTIONS,,
CATETERISMO CARD PED,CARD PED CATHETERIZATION,E0232,Warming card for nwt
"HISTERECTOMIA , SALPINGUECTOMIA, CISTECTOMIA DE OVAIRO POR LAPAROSCOPIA","HYSTERECTOMY, SALPINGECTOMY, OVAIRO CYSTECTOMY BY LAPAROSCOPY",,
HERNIORRAFIA INGUINAL  BILATERAL,BILATERAL INGUINAL HERNIORRHAPHY,L1690,Combination bilateral ho
"CONDROPLSTIA, REMODELACION MENISCO ROTO","CHONDROPLSTY, REMODELING TORN MENISCUS",,
IQ: BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO VIA ABIERTA,IQ: BONE BIOPSY IN UNSPECIFIED SITE VIA OPEN APPROACH,,
"CONDROPLASTIA, RECONSTRUCCION MENISCO RODILLA DERECHA","CHONDROPLASTY, RECONSTRUCTION MENISCUS RIGHT KNEE",,
EXTRACCION DIENTES INLUÍDOS .,EXTRACTION OF INCLUDED TEETH.,,
"CONDROPLASTIA, SUTURA MENSICO, RECOSNTRUCCION LIGAMENTO CRUZADO ANTERIOR","CHONDROPLASTY, MENSIC SUTURE, ANTERIOR CRUCIATED LIGAMENT RECONSTRUCTION",,
ENTEROSCOPIA MAS COLONOSCOPIA.,ENTEROSCOPY PLUS COLONOSCOPY.,,
RETIRO D EPLACA EN PERONE,PLAQUE REMOVAL ON FIBUM,,
RESECCION Y FULGURACIÓN D ELESIONES EN MARGEN Y CANAL ANAL.,RESECTION AND FULGURATION OF ELECTIONS IN THE MARGIN AND ANAL CANAL.,,
RESECCION DE LESION EN CONJUNTIVA,CONJUNCTIVE LESION RESECTION,,
HISTERECTOMIA POR LAPAROSCOPIA Y COLPORRAFIA,HYSTERECTOMY BY LAPAROSCOPY AND COLPORRHAPHY,,
SEPTTURBINOPLASTIA .,SEPTTURBINOPLASTY.,,
PLATIA DE LABIOS MENORES,PLATIA OF LIPS MINOR,,
CIRUGIA ORTOGNATICA BIMAXILAR.,BIMAXILLARY ORTHOGNATIC SURGERY.,,
REVASCULARIZACION MIOCARDICA.,MYOCARDIAL REVASCULARIZATION.,C9606,Perc d-e cor revasc w ami s
"HSITERECTOMIA, SALPINGECTOMIA","HSITERECTOMY, SALPINGECTOMY",,
RESECCION BIOPSIA DE LIPOMAS,BIOPSY RESECTION OF LIPOMAS,,
CUADRANTECTOMIA EN LA MAMA IZQUIERDA MAS COLGAJO GLANDULAR,QUADRANTECTOMY IN THE LEFT BREAST PLUS GLANDULAR FLAP,,
COLONOSCOPIA + RESECCION POLIPOS,COLONOSCOPY + POLYP RESECTION,G6019,Colonoscopy lesion removal
CIRUGIA ARTROSCOPICA HOMBRO IZDO,ARTHROSCOPIC SURGERY OF THE LEFT SHOULDER,,
IQ: CORRECCION DE LABIO FISURADO BILATERAL,IQ: BILATERAL Cleft LIP CORRECTION,,
RMN HIPOFISIS,PITUITARY NMR,,
CONIZACION CERVICAL,CERVICAL CONIZATION,A4261,Cervical cap contraceptive
ARTRODESIS CERVICAL C2,CERVICAL ARTHRODESIS C2,A4261,Cervical cap contraceptive
INFILTRACION DE CADERA DERECHA,RIGHT HIP INFILTRATION,C1605,"Pmkr, dual, leadless"
HERNIORRAFIA UMBILCAL,UMBILCAL HERNIORRHAPHY,,
RESECCIOND E TUMOR DE OVARIO DERECHO,RIGHT OVARIAN TUMOR RESECTION,,
HISTERECTOMIA ABDOMINAL LAPAROSCOPICA,LAPAROSCOPIC ABDOMINAL HYSTERECTOMY,C7565,Rpr aa hrn < 3 rdc w/ rmvl
AMIGDALECTOMIA+COLGAJO FARINGEO,TONSILLECTOMY+PHARYNGAL FLAP,,
CISTOSCOPIA MAS BIOPSIA DE VEJIGA,CYSTOSCOPY PLUS BLADDER BIOPSY,,
BIOPSIA EXCISIONAL D ELESIÓN,EXCISIONAL D ELESION BIOPSY,,
TIROIDECTOMIA TOTAL MAS BIOPSIA DE CONGELACION,TOTAL THYROIDECTOMY PLUS FREEZING BIOPSY,,
EXTRACCION EXTRACAPSULAR CRISTALINO + LIO,EXTRACAPSULAR CRYSTAL EXTRACTION + IOL,,
ANGIOTAC,ANGIOTAC,,
ENDOSCOPI DIG ALTA/COLONOSCOPIA TOTAL,HIGH DIG ENDOSCOPY/TOTAL COLONOSCOPY,,
ESFINTEROTOMIA LATERAL,LATERAL SPHINTEROTOMY,L1210,Lateral thoracic extension
RESECCION DE LESION ANAL,ANAL LESION RESECTION,L8605,Inj bulking agent anal canal
RESECCIÓN DE GANGLIÓN DORSAL.,DORSAL GANGLION RESECTION.,,
LAPAROSCOPIA OPERATORIA,OPERATIVE LAPAROSCOPY,L1310,Post-operative body jacket
"RESECCION LIPOMA , COLELAP","LIPOMA RESECTION, COLELAP",,
RESECCOPM DE TUMOR DE OVARIO POR LAPAROTOMIA MAS BIOPSIA POR CONGELACION,OVARIAN TUMORS RESECCOPM BY LAPAROTOMY PLUS FREEZING BIOPSY,,
ABLACION - ESTUDIO ELECTROFISIOLOGICO,ABLATION - ELECTROPHYSIOLOGICAL STUDY,C1886,"Catheter, ablation"
AMIGDALECTOMIA/TURBINOPLASTIA/LESION DE OROFARINGE,TONSILLECTOMY/TURBINOPLASTY/OROPHARYNX LESION,,
CISTECTOMIA DE OVARIO,OVARIAN CYSTECTOMY,G9116,Onc dx ovarian recurrence
RETIRO DE MATERIAL DE OTS Y TENOSINOVECTOMIA DE EXTENSOR DE ULNAR DEL CARPO,OTS MATERIAL REMOVAL AND ULNAR EXTENSO CARPI TENOSINOVECTOMY,,
CESÁREA + PPOMEROY,CESAREAN SECTION + PPOMEROY,S9438,Cesarean birth class
RESECCION ANTERIOR DE RECTO LAPAROSCOPICO,LAPAROSCOPIC ANTERIOR RECTAL RESECTION,,
LIBERACION TUNEL CARPO MANO DER,RIGHT HAND CARPAL TUNNEL RELEASE,,
QUERATOPLASTIA PENETRANTE ASISTIDA POR LASER,LASER ASSISTED PENETRATING KERATOPLASTY,,
CORRECCION MALFORMACION CON MIELOTIMIA POSTERIOR,CORRECTION OF MALFORMATION WITH POSTERIOR MYELOTYMIA,,
CAMBIO TQT Y GASTROSTOMIA,CHANGE TQT AND GASTROSTOMY,,
RESECCION AMPLIA Y COLGAJO DE COBERTURA PALMAR,WIDE RESECTION AND PALMAR COVERAGE FLAP,,
TURBINOPLASTIA ADENOIDECTOMIA,ADENOIDECTOMY TURBINOPLASTY,,
CATARATA + LIO,CATARACT + IOL,G8627,Surg proc w/in 30 days
CISTECTOMIA DE OVARIO MAS HISTERECTOMIA,OVARIAN CYSTECTOMY PLUS HYSTERECTOMY,,
RESECCION DE TUMOR DE OVARIO MAS BIOPSIA POR CONGETALCION  E HISTERECTOMIA,OVARIAN TUMORE RESECTION PLUS FREEZETAL BIOPSY AND HYSTERECTOMY,,
RESONANCIA CEREBRAL Y DE PELVIS,BRAIN AND PELVIS RESONANCE,,
RESONANCIA DE CADERA.,HIP RESONANCE.,L5702,Replace socket hip
ARTROSCOPIA - MENISCECTOMÍA RODILLA IZQUIERDA.,ARTHROSCOPY - LEFT KNEE MENISCECTOMY.,,
RESECCIÓN DE TUMOR BENIGNO EN,Benign tumor resection in,,
HISTERECTOMIA RADICAL,RADICAL HYSTERECTOMY,G9774,Pt had hyst
TENOSINOVECTOMIA DE EXTENSORES DE  MANO IZQ Y RESECCION DE GANGLION,TENOSINOVECTOMY OF LEFT HAND EXTENDERS AND GANGLION RESECTION,,
HERNIORRAFIA INGUINAL L,INGUINAL HERNIORRHAPHY L,,
FACO Y LIO IZQ,PHACO AND LEFT IOL,,
RESECCION DE MASA CERVICAL,CERVICAL MASS RESECTION,A4261,Cervical cap contraceptive
HERNIORRAFIA UMBILICAL E INGUINAL IZQ,LEFT UMBILICAL AND INGUINAL HERNIORRHAPHY,,
LISIS DE SINEQUIAS ANT/PUPILOPASTIA/VITRECTOMIA ANT,LYSIS OF ANT SYNECHIAE/PUPILOPASTIA/ANT VITRECTOMY,,
RESECCION DE TUMOR DE OVARIO MAS BIOPSIA POR LAPAROTOMIA,OVARIAN TUMORE RESECTION PLUS LAPAROTOMY BIOPSY,,
ESCICION BIOPSIA,BIOPSY EXCECTION,G0364,Bone marrow aspirate &biopsy
MASTOIDECTOMIA/RECONSTRUCCION DE CADENA OSICULAR,MASTOIDECTOMY/OSSICULAR CHAIN ​​RECONSTRUCTION,,
"RESECCION DE LESION VESICAL POR ENDOSCOPIA, FULKGURACION DE LESION POR ENDOSCOPIA","RESECTION OF BLADDER LESION BY ENDOSCOPY, FULKGURATION OF LESION BY ENDOSCOPY",,
"EVDA, CONTROL DE SANGRADO","EVDA, BLEEDING CONTROL",,
HISTERECTOMIA Y COLPORRAFIA,HYSTERECTOMY AND COLPORRHAPHY,G9774,Pt had hyst
CIRUGÍA DE CORRECCION E ESCOLIOSIS,SCOLIOSIS CORRECTION SURGERY,G9945,Pt w/cancer scoliosis
SUMPATECTOMIA POR LAPAROSCOPIA,SUMPATECTOMY BY LAPAROSCOPY,,
COLECISTECTOMIA LAPAROSCOPIA,LAPAROSCOPY CHOLECYSTECTOMY,G0342,Laparoscopy islet cell trans
LAPRSOCO´OPIA GINECOLOGICA .,GYNECOLOGICAL LAPRSOCOOPIA.,S0610,Annual gynecological examina
AMPUTACION DE DEDO MAS BIOPSIA DE GANGLIO CENTINELA,FINGER AMPUTATION PLUS SENTINEL GANGLION BIOPSY,,
LIBERACIÓN ENDOSCÓPICA T. CARPIANO MANO DERECHA,ENDOSCOPIC RELEASE RIGHT HAND CARPAL TEMPERATURE,,
LIBERACIÓN TENDONES PERONEO TOBILLO DERECHO,RIGHT ANKLE PERONEUS TENDON RELEASE,,
TENOSINOVECTOMIA EXTENSORES,EXTENSOR TENOSINOVECTOMY,,
RSECCION DE LESION EN MEJILLA IZQUIERDA,RECTION OF LESION IN LEFT CHEEK,,
