input_es,input_en,icd11_code,icd11_title,icd11_uri,icd10cm_code,icd10cm_term
INSUFICICENCIA VENOSA,VENOUS INSUFFICIENCY,,,,I87.2,Venous insufficiency (chronic) (peripheral)
CIFO ESCOLIOSIS EHLERS DANLOS,CIFO SCOLIOSIS EHLERS DANLOS,,,,,
INSUFICIENCIA VENOSA MIEMBRO INFERIOR IZQUIERDO,LEFT LOWER LIMB VENOUS INSUFFICIENCY,,,,,
PARIDAD SATISFACHE,SATISFIED PARITY,,,,,
EXTRACCION PLACA FEMUR DER,RIGHT FEMUR PLATE EXTRACTION,,,,M96.661,"Fracture of femur following insertion of orthopedic implant, joint prosthesis, or bone plate, right leg"
CARCINOMA ESCAMOCELULAR TORAX,THORAXAL SQUAMOCELLULAR CARCINOMA,,,,,
POLIPO ENDOUTERINO,ENDOUTERINE POLYP,,,,K22.81,Esophageal polyp
SD TUNEL DEL CARPO DERECHO,SD RIGHT CARPAL TUNNEL,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
LESION MENISCAL Y DE LCA,MENISCAL AND ACL INJURY,,,,,
PIE EQUINOVARO DER,RIGHT EQUINOVAR FOOT,,,,M21.371,"Foot drop, right foot"
OTROS SINTOMAS Y SIGNOS QUE INVOLUCRAN E,OTHER SYMPTOMS AND SIGNS INVOLVING E,,,,R45.89,Other symptoms and signs involving emotional state
EMBAAZO A TERMINO,TERM PREGNANCY,,,,O48.0,Post-term pregnancy
LESION PARPADO INF DER,LOWER RIGHT EYELID INJURY,,,,H02.532,Eyelid retraction right lower eyelid
TUNEL CARPIANO BOLATERAL/GANGLION MANO DER,BOLATERAL CARPAL TUNNEL/RIGHT HAND GANGLION,,,,,
ADNOMIOSIS,DNAOMYOSIS,,,,,
RETINOBLASTOMA IZQ,LEFT RETINOBLASTOMA,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
ADENOCARCINOMA DE RECTO,ADENOCARCINOMA OF THE RECTUM,,,,N80.511,Superficial endometriosis of the rectum
POLIPOS GASTRICOS,GASTRIC POLYPS,,,,I86.4,Gastric varices
CISTITIS CRONICA,CHRONIC CYSTITIS,,,,N30.10,Interstitial cystitis (chronic) without hematuria
CISTOCELE,CYSTOCELE,,,,N81.10,"Cystocele, unspecified"
HIPERTROFIA DE LABIO MENOR,LIP MINOR HYPERTROPHY,,,,Q36.0,"Cleft lip, bilateral"
T. OVARIO,T. OVARY,,,,S22.058S,"Other fracture of T5-T6 vertebra, sequela"
LESION CORNEA OD,CORNEAL INJURY OD,,,,S05.00XS,"Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, sequela"
LESION DE TENDÓN DE GLÚTEO MEDIO IZQ,LEFT MEDIUM GLUTEUS TENDON INJURY,,,,,
HIPERPLASIA DE PROSTATA,PROSTATE HYPERPLASIA,,,,A18.14,Tuberculosis of prostate
ALFORMACION ARTERIOVENOSA  CEREBRAL .,CEREBRAL ARTERIOVENOUS ALFORMATION.,,,,Q28.2,Arteriovenous malformation of cerebral vessels
"COMPRESION DE BERVIO EN DORSO DEL PIE , LESION DE LIGAMENTOS RODILLA IZQ","BERVIO COMPRESSION IN THE DORSO OF THE FOOT, LEFT KNEE LIGAMENT INJURY",,,,,
ATROFIA  VAGINAL  CERVIX,VAGINAL ATROPHY CERVIX,,,,N81.5,Vaginal enterocele
MASA CUERPO Y COLA PANCREAS,BODY AND TAIL PANCREAS MASS,,,,,
PTERIGIOS,PTERYGIA,,,,,
COMUNICACION INTERVENTRICULAR PERIMEMBRANOSA EXTENDIDA,EXTENDED PERIMEMBRANOUS INTERVENTRICULAR COMMUNICATION,,,,,
CATARATA OJO IZQUIERDO,LEFT EYE CATARACT,,,,H59.022,"Cataract (lens) fragments in eye following cataract surgery, left eye"
DOLOR EN RODILLAS,PAIN IN KNEES,,,,R07.0,Pain in throat
DISURIA,DYSURIA,,,,R30.0,Dysuria
CA BASOCELULAR ALA NASAL IZDA Y PARPADO INF DER,BASOCELLULAR AC LEFT NASAL WING AND RIGHT LOWER EYELID,,,,,
ANTICONCEPCION,CONTRACEPTION,,,,Z92.0,Personal history of contraception
"DISPEPSIA , SD ADHERENCIAL","DYSPEPSIA, ADHERENTIAL SD",,,,K30,Functional dyspepsia
MASA ANEXIAL DER,RIGHT ANNEXAL MASS,,,,R19.01,"Right upper quadrant abdominal swelling, mass and lump"
INSUFICIENCIA VENOSA M INF IZ,VENOUS INSUFFICIENCY M INF IZ,,,,,
"LUXACION DE SEMILUNAR, RUPTURA DE LIG ESCAFOSEMILUNAR","SEMILUNAR DISLOCATION, RUPTURE OF SCAPHOSELUNAR LIG",,,,,
ANEMIA A ESTUDIO,ANEMIA TO STUDY,,,,D64.81,Anemia due to antineoplastic chemotherapy
POP OST MANO DERECHA,POP OST RIGHT HAND,,,,,
HIPERPARATIROIDISMO PRIMARIO,PRIMARY HYPERPARATHYROIDISM,,,,E21.0,Primary hyperparathyroidism
CORDALES DISFUNCIONANTES,DYSFUNCTIONING WORDS,,,,R40.2220,"Coma scale, best verbal response, incomprehensible words, unspecified time"
"LEIOMIOMA DEL UTERO, SIN OTRA ESPECIFICA","LEIOMIOMA OF THE UTERUS, WITHOUT OTHER SPECIFICATIONS",,,,,
PIE EQUINO VARO BILATERAL,BILATERAL EQUINUUS VARUS FOOT,,,,,
H INGUINAL BILATERLA,BILATERAL INGUINAL H,,,,Q53.212,Bilateral inguinal testes
MALFORMACION VENOSA DEDO MANO,VENOUS MALFORMATION OF THE FINGER HAND,,,,,
CONDILOMAS,CONDYLOMAS,,,,,
CARCINOMA DE UNION DE RECTOSIGMOIDE,RECTOSIGMOID JUNCTION CARCINOMA,,,,D01.1,Carcinoma in situ of rectosigmoid junction
MICROGNATIA,MICROGNATHY,,,,,
DERMATOFIBROMAS,DERMATOFIBROMAS,,,,,
POP CIRUGIA HOMBRO,POP SHOULDER SURGERY,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
ALTERACION DE LA MORFOLOGIA DE LA NARIZ,ALTERATION OF THE MORPHOLOGY OF THE NOSE,,,,,
TENOSINOVITIS DE EXTENSORES DE PULGAR MANO IZQUIERDA,LEFT HAND THUMB EXTENSION TENOSYNOVITIS,,,,,
TUNEL DEL CARPO DER,RIGHT CARPAL TUNNEL,,,,G56.01,"Carpal tunnel syndrome, right upper limb"
JUNETILLOS,JUNETILLOS,,,,,
"HERNIORRAFIA UMBILICAL-INGUINAL, FIMOSIS","UMBILICAL-INGUINAL HERNIORRHAPHY, PHIMOSIS",,,,,
DONATE HIGADO,DONATE YOUR LIVER,,,,,
TUMOR HIPOFISIARIO,PITUITARY TUMOR,,,,E22.0,Acromegaly and pituitary gigantism
SD TUNEL CARPO BILATERAL,SD BILATERAL CARPAL TUNNEL,,,,G56.03,"Carpal tunnel syndrome, bilateral upper limbs"
EXTRACCION D EMATERIAL DE OSTEOSINTESIS DE ESCAFOIDES,D EMATERIAL EXTRACTION OF SCAPHOID OSTEOSYNTHESIS,,,,,
LESION  EN  COLON,COLON INJURY,,,,S36.501S,"Unspecified injury of transverse colon, sequela"
TRASPOSICIÓN DE GRANDES VASOS,TRANSPOSITION OF LARGE VESSELS,,,,,
CARCINOMA PAPILAR DE TIROIDES,PAPILLARY THYROID CARCINOMA,,,,D09.3,Carcinoma in situ of thyroid and other endocrine glands
MALFORMACION AV EN ORBITA IZQ,AV MALFORMATION IN LEFT ORBIT,,,,,
OTITIS MEDIA BILATERAL,BILATERAL OTITIS MEDIA,,,,H66.93,"Otitis media, unspecified, bilateral"
SECUELAS DE OSTEOMIELITIS,SEQUELS OF OSTEOMYELITIS,,,,H05.021,Osteomyelitis of right orbit
COMPRESION NERV CUTANEO 5 MTT PIE IZDO,CUTANEOUS NERV COMPRESSION 5 MTT LEFT FOOT,,,,,
QUISTE PILONIODAL,PILONIODAL CYST,,,,G96.191,Perineural cyst
"HIPERTOFIA ADENOIDEAS, AMIGDALAS","ADENOID HYPERTOPHY, TONSILS",,,,J35.02,Chronic adenoiditis
GRAN HERNIA UMBILICAL,GREAT UMBILICAL HERNIA,,,,K42.1,Umbilical hernia with gangrene
TRABAJO DE PARTO,LABOR,,,,O62.3,Precipitate labor
LESION NERVIO CUBITAL,CUBITAL NERVE INJURY,,,,P11.3,Birth injury to facial nerve
HALLUX VALGUS PIE IZQUIERDO,HALLUX VALGUS LEFT FOOT,,,,M20.12,"Hallux valgus (acquired), left foot"
ASIMETRÍA RECONSTRUCCION MAMARIA,ASYMMETRY BREAST RECONSTRUCTION,,,,Z42.1,Encounter for breast reconstruction following mastectomy
OST CLAVICULA,OST CLAVICLE,,,,A01.05,Typhoid osteomyelitis
CA  DE MAMA DERECHO,CA OF RIGHT BREAST,,,,S20.111S,"Abrasion of breast, right breast, sequela"
DULOBLASTOMA,DULOBLASTOMA,,,,,
SINDORME MANGUITO ROTADOR HOMBRO IZQUIERDO,LEFT SHOULDER ROTATOR Cuff SINDORME,,,,M75.102,"Unspecified rotator cuff tear or rupture of left shoulder, not specified as traumatic"
TENOSINOVITIS MANO,HAND TENOSYNOVITIS,,,,M65.141,"Other infective (teno)synovitis, right hand"
ENTROPION  OJO IZQUIERDO,LEFT EYE ENTROPION,,,,H02.006,"Unspecified entropion of left eye, unspecified eyelid"
ENCONDROMA   FRACTURA INMINENTE.,IMMINENT FRACTURE ENCHONDROMA.,,,,,
G2C1/EMBZO TERMINO/CESAREA PREVIA,G2C1/TERMINAL EMBODIMENT/PREVIOUS CAESAREAN SECTION,,,,,
RUPTURA DEL BICEPS DISTAL,DISTAL BICEPS RUPTURE,,,,L40.51,Distal interphalangeal psoriatic arthropathy
POLIPOS EN VESÍCULA BILIAR .,POLYPS IN GALLBLADDER.,,,,K82.A1,Gangrene of gallbladder in cholecystitis
TENOSINOVITIS DE EXTENSORES DE PULGAR DE MANO DERECHA,TENOSYNOVITIS OF THE THUMB EXTENDERS OF THE RIGHT HAND,,,,,
MALFORMACIÓN ARTERIOVENOSA CEREBELOSA DERECHA,RIGHT CEREBELLAR ARTERIOVENOUS MALFORMATION,,,,,
TENOSINOVITIS DEDOS DE MANO,TENOSYNOVITIS FINGERS OF THE HAND,,,,,
TU RETROPERITONEAL,YOUR RETROPERITONEAL,,,,A18.39,Retroperitoneal tuberculosis
INTESTINO IRRITABLE,IRRITABLE BOWEL,,,,K58.2,Mixed irritable bowel syndrome
DEDO EN BOTONERA,FINGER ON BUTTON,,,,M65.30,"Trigger finger, unspecified finger"
DLOR ABDOMINAL,ABDOMINAL PAIN,,,,R10.84,Generalized abdominal pain
"CIRROSIS , NÓDULO EN HÍGADO","CIRRHOSIS, LIVER NODULE",,,,K74.60,Unspecified cirrhosis of liver
FRACTURA DE MALÉOLO EXTERNO.,FRACTURE OF EXTERNAL MALLEOLIS.,,,,,
GONARTROSIS RODILLAS,GONARTHROSS KNEES,,,,,
POLIPOS COLON,COLON POLYPS,,,,K51.40,Inflammatory polyps of colon without complications
MALFORMACION ARTERIOVENOSA INTRACRANEANA .,INTRACRANIAL ARTERIOVENOUS MALFORMATION.,,,,Q25.72,Congenital pulmonary arteriovenous malformation
ADENOIDECTOMIA TURBINOPLASTIA,ADENOIDECTOMY TURBINOPLASTY,,,,,
POLIPO VESICULAR,VESICULAR POLYP,,,,B00.1,Herpesviral vesicular dermatitis
FRACTURA DE CLAVÍCULA,CLAVICLE FRACTURE,,,,P13.4,Fracture of clavicle due to birth injury
HEMORROIDES INTERNAS,INTERNAL HEMORRHOIDS,,,,B83.4,Internal hirudiniasis
LESION PLIEGUE VOCAL,VOCAL FOLD INJURY,,,,J38.2,Nodules of vocal cords
LESION PLANTA DE PIE,PLANT OF FOOT INJURY,,,,S97.80XS,"Crushing injury of unspecified foot, sequela"
BRIDAS,FLANGES,,,,,
GANGLIÓN PALMAR,PALMAR GANGLION,,,,M72.0,Palmar fascial fibromatosis [Dupuytren]
LESIÓN DE HOMBRO,SHOULDER INJURY,,,,S40.911S,"Unspecified superficial injury of right shoulder, sequela"
FX DE RADIO DER,RADIO FX,,,,L58.0,Acute radiodermatitis
DESVIACIÓN SEPTAL IZQUIERDA E HIPERTROFIA DE CORNETES,LEFT SEPTAL DEVIATION AND CORNETAL HYPERTROPHY,,,,,
POLIPOS VESICULARES ESTEATOSIS HEPATICA,VESICULAR POLYPS HEPATIC STEATOSIS,,,,,
OMC OD,WTO OD,,,,K09.0,Developmental odontogenic cysts
TUTOR EXTERNO MID,EXTERNAL TUTOR MID,,,,B88.3,External hirudiniasis
DOLOR RADICULAR IZQUIERDO,LEFT ROAD PAIN,,,,N50.812,Left testicular pain
DEFECTO NASAL,NASAL DEFECT,,,,R09.81,Nasal congestion
MASA EN GLÚTEO DRECHO,MASS IN RIGHT GLUTEUS,,,,,
GANGLION EN DORSO DE CARPO MANO IZQUIERDA,GANGLION ON DORSUUS CARPI LEFT HAND,,,,,
LESION METAFISIS DISTAL TIBIA IZQDA,LEFT DISTAL TIBIA METAPHYSIS INJURY,,,,,
PATERNIDAD SATISFECHA.,SATISFIED PARENTHOOD.,,,,,
TUMOR CONJUNTIVAL OJO DERECHO,CONJUNCTIVAL TUMOR OF RIGHT EYE,,,,T26.11XS,"Burn of cornea and conjunctival sac, right eye, sequela"
LESIONES EN MAMA IZQUIERDA.,LEFT BREAST INJURIES.,,,,S20.102S,"Unspecified superficial injuries of breast, left breast, sequela"
TUMOR PIERNA DERECHA,RIGHT LEG TUMOR,,,,M76.61,"Achilles tendinitis, right leg"
G2A1 EMB 37 SEM,G2A1 EMB 37 SEM,,,,D80.3,Selective deficiency of immunoglobulin G [IgG] subclasses
LESION CRICOFARINGEA,CRICOPHARYNGEAL INJURY,,,,P15.2,Sternomastoid injury due to birth injury
CA BASOCELULAR NASAL.,NASAL BASOCELLULAR CA.,,,,R09.81,Nasal congestion
SECUELAS AMPUTACION FD 2DO DEDO MANO IZQDA,AFTERMATH OF FD 2ND FINGER LEFT HAND AMPUTATION,,,,,
CARCINOMA MUCOSA BOCA,MOUTH MUCOUS CARCINOMA,,,,D00.06,Carcinoma in situ of floor of mouth
BARRA FIBROSA NAVÍCULO CUNEANA PIE DERECHO,FIBROUS BAR NAVÍCLE CUNEANA RIGHT FOOT,,,,,
QUISTE FOLICULAR DEL OVARIO,OVARIAN FOLLICULAR CYST,,,,Q50.1,Developmental ovarian cyst
DEFORMIDAD MANO IZQ,LEFT HAND DEFORMITY,,,,M21.942,"Unspecified acquired deformity of hand, left hand"
"DEFORMIDD EN MEDIOPIE , HALLUZ VALGUS","MIDDLEFOOT DEFORMITY, HALLUZ VALGUS",,,,,
ESTRABISMO CONCOMITANTE DIVERGENTE,CONCOMITANT DIVERGENT STRABISMUS,,,,,
DEFORMIDAD EN NARIZ,NOSE DEFORMITY,,,,M95.0,Acquired deformity of nose
FX Y OTS DEDO PULGAR,FX AND OTS THUMB,,,,,
"FISURA, FÍTULA ANAL .","FISSURE, ANAL FITULA.",,,,K60.0,Acute anal fissure
DEVIACION SEPTAL HIPERTROFIA DE CORNETES,SEPTAL DEVIATION CORNETAL HYPERTROPHY,,,,,
CONDROMALACIA PATELOFEMORAL,PATELOFEMORAL CHONDROMALACIA,,,,M94.20,"Chondromalacia, unspecified site"
LESION EN TOBILLO DERECHO,RIGHT ANKLE INJURY,,,,S97.01XS,"Crushing injury of right ankle, sequela"
EPICONDILITIS CODO DERECHO,EPICONDILITIS RIGHT ELBOW,,,,S53.031S,"Nursemaid's elbow, right elbow, sequela"
ADENOPATIAS CERVICALES,CERVICAL DENOPATHIES,,,,M50.20,"Other cervical disc displacement, unspecified cervical region"
PERFORACION TIMPANICA DER,RIGHT TYMPANIAL PERFORATION,,,,H72.01,"Central perforation of tympanic membrane, right ear"
POP CA DE COLON,POP CA DE COLON,,,,G57.30,"Lesion of lateral popliteal nerve, unspecified lower limb"
GANGLION TOBILLO IZQUIERDO,LEFT ANKLE GANGLION,,,,M67.472,"Ganglion, left ankle and foot"
ADENOCA UNION RECTOSIGMOIDE,ADENOCAL RECTOSIGMOID JUNCTION,,,,C19,Malignant neoplasm of rectosigmoid junction
AMIGDALITIS A REPETICION,REPEATED TONSILLITIS,,,,R29.6,Repeated falls
TUMOR AMIGDALA,TONSILLA TUMOR,,,,B44.2,Tonsillar aspergillosis
QX RODILLA IZQUIERDA.,QX LEFT KNEE.,,,,M23.42,"Loose body in knee, left knee"
ADEMIOSIS,ADEMIOSIS,,,,,
HALLUX VALGUX,HALLUX VALGUX,,,,M20.20,"Hallux rigidus, unspecified foot"
INCOTINENCIA URINARIA,URINARY INCOTINENCE,,,,N20.9,"Urinary calculus, unspecified"
QUISTE SINOVIAL EN CUARTO DEDO MANO DERECHA,SYNOVIAL CYST IN THE FOURTH FINGER OF THE RIGHT HAND,,,,,
LESIÓN LIGAMENTO CRUZADO ANTERIOR RODILLA DER,ANTERIOR CRUCIATED LIGAMENT INJURY OF THE RIGHT KNEE,,,,,
HT AMIGDALAS/CORNETES,HT TONSILS/ CORNETS,,,,B97.33,"Human T-cell lymphotrophic virus, type I [HTLV-I] as the cause of diseases classified elsewhere"
QUEMADURAS EN MSD Y MII,BURNS IN MSD AND MII,,,,,
SINOVITIS TOBILLO IZQ,LEFT ANKLE SYNOVITIS,,,,M67.372,"Transient synovitis, left ankle and foot"
TUMO EN PARPADO,EYELID TUMO,,,,H02.531,Eyelid retraction right upper eyelid
QUISTE EN LARINGE,CYST IN LARYNX,,,,D02.0,Carcinoma in situ of larynx
LESION MANGUITO ROTADOR HOMBRO IZQUIERDO,LEFT SHOULDER ROTATOR Cuff INJURY,,,,S46.002S,"Unspecified injury of muscle(s) and tendon(s) of the rotator cuff of left shoulder, sequela"
TENOSINOVITIS EXTENSORES DE DEDO MANO,FINGER EXTENSION TENOSYNOVITIS,,,,M65.30,"Trigger finger, unspecified finger"
TENOSINOVITIS DE DEDOS MANO,TENOSYNOVITIS OF HAND FINGERS,,,,Q68.1,Congenital deformity of finger(s) and hand
LESION MENISCAL RODILLA DERECGA,MENISCAL INJURY OF RIGHT KNEE,,,,,
APLASTAMIENTO DE VÉRTEBRA .,VERTEBRA CRUSHING.,,,,M46.20,"Osteomyelitis of vertebra, site unspecified"
"HIPERTROFIA CORNESTES, DESVIACION TABIQUE","CORNESTES HYPERTROPHY, SEPTUM DEVIATION",,,,,
HEMANGIOMA MUSLO DERECH,RIGHT THIGH HEMANGIOMA,,,,M89.051,"Algoneurodystrophy, right thigh"
ANTEROLISTESIS L4L5,L4L5 ANTEROLISTHESIS,,,,S33.110S,"Subluxation of L1/L2 lumbar vertebra, sequela"
RINITIS-ASMA,RHINITIS-ASTHMA,,,,J30.0,Vasomotor rhinitis
LESION TOBILLO IZQ,LEFT ANKLE INJURY,,,,S97.02XS,"Crushing injury of left ankle, sequela"
"TUMOR MALIGNO DE LA MAMA, PARTE NO ESPEC","Malignant tumor of the breast, unspecified part",,,,,
DEFORMIDAD ADQUIRIDA EN LA NARIZ,ACQUIRED DEFORMITY IN THE NOSE,,,,,
FRACTURA DE OTROS HUESOS METACARPIANOS,FRACTURE OF OTHER METACARPAL BONES,,,,S62.398S,"Other fracture of other metacarpal bone, sequela"
POP OST TIBIA IZQ,POP OST TIBIA LEFT,,,,,
RUPTURA DE IMPLANTES MAMARIOS,RUPTURE OF BREAST IMPLANTS,,,,,
ARTROSIS,ARTHROSIS,,,,,
CATARATAS BILATERALES,BILATERAL FALLS,,,,H10.813,"Pingueculitis, bilateral"
SD TUNEL UBITAL,SD UBITAL TUNNEL,,,,,
SECUELAS ESGUINCE TOBILLO IZDO,LEFT ANKLE SPRAINED AFTERMATH,,,,,
ENFERMEDD COLUMNA CERVICAL,CERVICAL SPINE DISEASE,,,,M48.22,"Kissing spine, cervical region"
NODULOS TIROIDEOS,THYROID NODULES,,,,A18.81,Tuberculosis of thyroid gland
RUPTURA LCA RODILLA IZDA,LEFT KNEE ACL RUPTURE,,,,,
OSTEOMIELITIS EN PERONÉ,OSTEOMYELITIS IN THE FIBULE,,,,,
CARCINOMA BASOCELULAR ADENOIDE QUISTIC,ADENOID CYSTIC BASAL CELL CARCINOMA,,,,,
CONTROL.,CONTROL.,,,,Z62.0,Inadequate parental supervision and control
QUISTE DE BARTHOLINO,BARTHOLINO CYST,,,,G96.191,Perineural cyst
FRACTURTA DE HÚMERO DERECHO,RIGHT HUMEROUS FRACTURE,,,,M84.311A,"Stress fracture, right shoulder, initial encounter for fracture"
ESOFAGITI EOSINOFILICA,EOSINOPHILIC ESOPHAGITI,,,,J82.83,Eosinophilic asthma
MAV FISTULOSA CARÓTIDA EXTERNA,EXTERNAL CAROTID FISTULOUS AVM,,,,,
DISCOPATÍA L4 L5,DISCOPATHY L4 L5,,,,S33.110S,"Subluxation of L1/L2 lumbar vertebra, sequela"
CARCINOMA BASOCELULAR NODULA,NODULAR BASAL CELL CARCINOMA,,,,C44.510,Basal cell carcinoma of anal skin
PATERNDADS SATISFECHA .,SATISFIED PARENTHOOD.,,,,,
SD DE TUNEL DEL MCARPO,MCARPO TUNNEL SD,,,,,
PROSTATISMO DESCOMPENSADO,DECOMPENSATED PROSTATISM,,,,,
GANGLIONES EN DORSO DE MUÑECA Y MANO DERECHA,GANGLIONS ON BACK OF WRIST AND RIGHT HAND,,,,,
OBTRUCCION VIA LAGRIMAL,LACRIMAL DUCT OBTRUCTION,,,,Q10.5,Congenital stenosis and stricture of lacrimal duct
LESION TIPO PAPILOMA EN MUCOSA DE PALDAR BLANDO IZQ,PAPILLOMA-TYPE LESION IN THE LEFT SOFT PALARD MUCOSA,,,,,
LESION DE FCT DE MUÑECA IZQUIERDA,CTF INJURY OF LEFT WRIST,,,,,
FRACTURA DE HALLUX DERECHO.,RIGHT HALLUX FRACTURE.,,,,M20.21,"Hallux rigidus, right foot"
MASA EN ESCAPULA,MASS IN SCAPULA,,,,R19.05,"Periumbilic swelling, mass or lump"
MASA EM OMBLIGO,NAVEL MASS,,,,R19.05,"Periumbilic swelling, mass or lump"
TUNEL DEL CARPO DE MANO IZQUIERDA,LEFT HAND CARPAL TUNNEL,,,,M92.212,"Osteochondrosis (juvenile) of carpal lunate [Kienbock], left hand"
MANGUITO ROTADOR DER,RIGHT ROTATOR CUFF,,,,S43.421S,"Sprain of right rotator cuff capsule, sequela"
TURBINOPLASTIA Y ADENOIDECTOMIA,TURBINOPLASTY AND ADENOIDECTOMY,,,,,
FX TIBIA IZQUIERDA,LEFT TIBIA FX,,,,M87.862,"Other osteonecrosis, left tibia"
RADICULOPATIA,RADICULOPATHY,,,,M54.10,"Radiculopathy, site unspecified"
METASTASIS TESTICULO,TESTICLE METASTASIS,,,,Q53.9,"Undescended testicle, unspecified"
RGE Y GASTRITIS,GERD AND GASTRITIS,,,,,
SULCUS  PV  DERECHO,SULCUS PV RIGHT,,,,,
VARICOCELECTOMIA IZQ + CIRCNCISION.,LEFT VARICOCELECTOMY + CIRCCISION.,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
VARICOCELE IZDO,LEFT VARICOCELE,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
TUMOR ÓSEOPARIETAL Y FRONTAL,FRONTAL AND PARIETAL BONE TUMOR,,,,,
SX DEL TUNEL DEL CARPO MANO IZQUIERDA,SX CARPAL TUNNEL LEFT HAND,,,,,
TUNEL CARPO MANO /TENOSINOVITISIZDA/,HAND CARPAL TUNNEL /TENOSINOVITISIDA/,,,,,
TCE + TRAUMA MAXILOFACIAL,TBI + MAXILLOFACIAL TRAUMA,,,,,
TUMOR BENIGNO,BENIGN TUMOR,,,,D3A.00,Benign carcinoid tumor of unspecified site
ULCERA PERFORADA,PERFORATED ULCERA,,,,H16.073,"Perforated corneal ulcer, bilateral"
CALCULO CORALIFORME IZDO,LEFT CORALIFORM CALCULATION,,,,M94.272,"Chondromalacia, left ankle and joints of left foot"
TUMOR EN FÉMUR.,TUMOR IN FEMUR.,,,,M84.551S,"Pathological fracture in neoplastic disease, right femur, sequela"
APENDICITIS,APPENDICITIS,,,,K36,Other appendicitis
ROTACION ARITENOIDES,ARITENOID ROTATION,,,,M26.35,Rotation of fully erupted tooth or teeth
"HERNIORRAFIA INGUINAL DER, UMBILICAL , HERNIA INTERNA","RIGHT INGUINAL HERNIORRHAPHY, UMBILICAL, INTERNAL HERNIA",,,,,
SLEEVE GASTRICO,GASTRIC SLEEVE,,,,I86.4,Gastric varices
MALFORMACION SEGMENTO ANTERIO AO,ANTERIOR AO SEGMENT MALFORMATION,,,,Q13.9,"Congenital malformation of anterior segment of eye, unspecified"
TUMEFACCION PARPADOS,EYELID SWELLING,,,,H02.531,Eyelid retraction right upper eyelid
ASA EN MAM IZQUIERDO,HANDLE ON LEFT MAM,,,,,
GENU VALGO + HIPERLAXITUD,GENU VALGUUS + HYPERMOBILITY,,,,,
INSUFICIENCIA MITRAL,MITRAL INSUFFICIENCY,,,,I05.1,Rheumatic mitral insufficiency
CANCER DE PROSTATA,PROSTATE CANCER,,,,A18.14,Tuberculosis of prostate
LESION DE HMOBRO,HUMBRO INJURY,,,,P15.2,Sternomastoid injury due to birth injury
FIBROMA TIBIA,TIBIA FIBROMA,,,,M87.861,"Other osteonecrosis, right tibia"
BARRO BILIAR/POLIPO VESICULA,GALLERY SLUDGE/BLADDER POLYP,,,,,
QUISTE PARATUBARICO IZDO/HIDROSALPINX DER,LEFT PARATUBARIC CYST/RIGHT HYDROSALPINX,,,,,
HIDRONEFROSIS DERECHA,RIGHT HYDRONEPHROSIS,,,,M94.271,"Chondromalacia, right ankle and joints of right foot"
POP SLEEVE GASTRICO,GASTRIC POP SLEEVE,,,,I86.4,Gastric varices
TENOSINOVITIS EN EXTENSORES DE MANO,TENOSYNOVITIS IN HAND EXTENDERS,,,,,
DOLOR EPIGASTRICO,EPIGASTRIC PAIN,,,,R10.13,Epigastric pain
FRACTURA SUPRACONDILEA CODO DERECHO,SUPRACHONDYLEAR FRACTURE RIGHT ELBOW,,,,M97.41XS,"Periprosthetic fracture around internal prosthetic right elbow joint, sequela"
MASA EN ÓRBITA DERECHA .,MASS IN RIGHT ORBIT.,,,,,
UÑAS ENCARNADAS,INGROWN NAILS,,,,Q84.5,Enlarged and hypertrophic nails
LESION CONJUNTIVA OJO DERECHO,CONJUNCTIVE LESION OF RIGHT EYE,,,,,
ANEMIA,ANEMIA,,,,D53.2,Scorbutic anemia
BELFAROPTOSIS,BELPHAROPTOSIS,,,,,
TERATOMA SACROCOCCIGEO,SACROCOCCIGAL TERATOMA,,,,,
LESIÓN DE LIGAMENTO CRUZADO ANTERIOR Y MENISCOS R. IZQUIERDA,INJURY OF ANTERIOR CRUCIATED LIGAMENT AND R. LEFT MENISCUS,,,,,
OSTEOMIELITIS CRONICA MANDIBULA,CHRONIC OSTEOMYELITIS OF THE MANDIBULA,,,,,
FRACTURA TRIMALEOLAR DE TOBILLO,TRIMALEOLAR ANKLE FRACTURE,,,,M84.371S,"Stress fracture, right ankle, sequela"
ALTERACION MORFOLOGICA DE LA NARIZ,MORPHOLOGICAL ALTERATION OF THE NOSE,,,,,
FRACTIURA CONSOLIDADA DE RADIO + SSD D ETUNEL DE CARPO,CONSOLIDATED RADIO + SSD D ETUNEL CARPO FRACTURE,,,,,
DISCREPANCIA DE CRECIMIENTO DE FEMUR,FEMUR GROWTH DISCREPANCY,,,,M89.251,"Other disorders of bone development and growth, right femur"
MIOMATOSIS UTERINA GIGANTE,GIANT UTERINE MYOMATOSIS,,,,M27.1,"Giant cell granuloma, central"
PSEUDO ARTROSIS CLAVICULAR,CLAVICULAR PSEUDOARTHRITIS,,,,,
LIX DE ALTO GRADO,HIGH GRADE LIX,,,,K22.711,Barrett's esophagus with high grade dysplasia
MASA PANCREÁTICA EN ESTUDIO,PANCREATIC MASS UNDER STUDY,,,,,
